Proposal Title,Contributor(s),Prof. Affiliations,Verticals (max 3),Authority,Funding,Misc.,Agency/Exec. Office,Full Proposal,Supporting documents
Budget Neutral Federal Fleet Emissions Reduction Program Using Proven Energy Savings Performance Contract Program,"Jeff Eckel,Guy Van Syckle",Hannon Armstrong,Auto & Transport,New legislation,No funding,Procurement,"DOE,GSA",10-14_ZEV-ESPCs.docx.pdf (https://dl.airtable.com/.attachments/368b91b88434e00a2bbef4f78ddcc570/14ce17aa/10-14_ZEV-ESPCs.docx.pdf),
"Sustainable Public Procurement: Mandates, Metrics, and Incentives to Overcome the “Tyranny of Low Purchase Prices” ","Steven Schooner,""Markus Speidel, Ph.D.""",George Washington University Law School,"Energy,Equity & EJ","Existing authority,Executive order,New legislation",No funding,"WH Press,Procurement,Challenges/Awards","GSA,WH","""Sustainable Public Procurement_ Mandates, Metrics, and Incentives to Overcome the “Tyranny of Low Purchase Prices” .docx.pdf (https://dl.airtable.com/.attachments/78864719458e0460f76556775c4ecf33/da37aa90/SustainablePublicProcurement_MandatesMetricsandIncentivestoOvercometheTyrannyofLowPurchasePrices.docx.pdf)""",
FERC Proceeding on System Peakiness,Richard Kauffman,Generate Capital,Energy,Existing authority,No funding,,FERC,FERC Proceeding on System Peakiness_docx.pdf (https://dl.airtable.com/.attachments/8b080329822fb078722c05e4c62fcd32/9f64974a/FERCProceedingonSystemPeakiness_docx.pdf),
"Transform All Public Buildings by Reimagining the Use of Federal Energy Savings Performance Contracts (ESPCs): Creating “A National ESPC Collaborative”
",Jason Hartke,"International WELL Building Institute, ex-DOE",Buildings & Affordable Housing,Existing authority,No funding,"Fed/State Partners. ,Pub/Priv Partners.","DOE,GSA",Transform All Public Buildings by Reimagining the Use of Federal Energy Savings Performance Contracts (ESPCs)_ Creating “A National ESPC Collaborative”.docx.pdf (https://dl.airtable.com/.attachments/8904af87d3161a43f51d3e896e74c2a1/36426af2/TransformAllPublicBuildingsbyReimaginingtheUseofFederalEnergySavingsPerformanceContractsESPCs_CreatingANationalESPCCollaborative.docx.pdf),
"Expand federal STEM internships opportunities for women and Black, Indigenous and people of color to address gender and racial inequity in the energy sector
","Anna Lising,Laurie Wiegand,Jeanette Pablo","Clean Energy for Biden, Utility Advantage, Energy Futures Initiative (submitting in personal capacity), ex-DOE",Equity & EJ,Existing authority,Funding,,DOE,"""Expand federal STEM internships opportunities for women and Black, Indigenous and people of color to address gender and racial inequity in the energy sector.docx.pdf (https://dl.airtable.com/.attachments/14018854a973e15fe0c7e4fbc33003e8/845fab13/ExpandfederalSTEMinternshipsopportunitiesforwomenandBlackIndigenousandpeopleofcolortoaddressgenderandracialinequityintheenergysector.docx.pdf)""",
"White House and Climate Cabinet Secretaries Convene Sector Breakthrough Roundtables Across America
",Jennifer Austin,"COP Climate Action Champions, ex-DOS (submitting in personal capacity)","Energy,Auto & Transport,Conservation & Ag.",Existing authority,No funding,"WH Press,Challenges/Awards,Taskforce","WH,EPA,DOT,DOC,DOE,USDA",Climate Cabinet Secretaries Convene Sector Breakthrough Roundtables Across America.pdf (https://dl.airtable.com/.attachments/42d3425eb4fbf00cb8e80bccbf8a9d26/f4a907b2/ClimateCabinetSecretariesConveneSectorBreakthroughRoundtablesAcrossAmerica.pdf),
"Executive Order to require “Buy Clean” disclosure rules for federal government purchases of steel, cement, concrete, and other heavy energy intensive industries
",Mike Williams,"BlueGreen Alliance
","Manufacturing & Onshoring,Infrastructure,Heavy Industry",Executive order,No funding,Procurement,"OMB,EPA,DOE,DOC,GSA,WH","""Executive Order to require “Buy Clean” disclosure rules for federal government purchases of steel, cement, concrete, and other heavy energy intensive industries.docx.pdf (https://dl.airtable.com/.attachments/8c4bf4d92e8e1be81040800f2404d4b3/35e12968/ExecutiveOrdertorequireBuyCleandisclosurerulesforfederalgovernmentpurchasesofsteelcementconcreteandotherheavyenergyintensiveindustries.docx.pdf)""",
National “Opt-in” Climate Infrastructure Bank,"Colin Bishopp,""Jim Barrett, Ph.D.""","PACENation, American Council for an Energy-Efficient Economy, ex-DOE",Infrastructure,Existing authority,No funding,Fed/State Partners. ,"DOE,EPA",National “Opt-in” Climate Infrastructure Bank_docx-2.pdf (https://dl.airtable.com/.attachments/873c6b923d57aba3193815bf624cd69d/abd806ea/NationalOpt-inClimateInfrastructureBank_docx-2.pdf),Healthy Home Loan Program_White Paper (1).pdf (https://dl.airtable.com/.attachments/ae685b9d06a0acc89421fc8b2fe10046/299c3513/HealthyHomeLoanProgram_WhitePaper1.pdf)
Create an Energy and Utility Liaison at the FCC,Elin Swanson Katz,Tilson Technology,"Energy,Infrastructure,Broadband/Telecom",Existing authority,No funding,,"FCC,FERC",Create an Energy and Utility Liaison at the FCC.docx.pdf (https://dl.airtable.com/.attachments/6b1297c4028db85aae212a52c24d752d/e1f6d325/CreateanEnergyandUtilityLiaisonattheFCC.docx.pdf),
"NextGen Highways: co-locating the transport of vehicles, energy, and information ","""Morgan Putnam, Ph.D."",Allie Kelly,Rolf Nordstrom,Joe Sullivan,Russ Elliott","Clean Energy for Biden, MN PUC, The Ray, Great Plains Institute","Auto & Transport,Energy,Broadband/Telecom","New legislation,New regulations",Fund no-fund option,,"FHWA,FERC,FCC,DOE,DOT","""NextGen Highways_ co-locating the transport of vehicles, energy, and information  Verticals.pdf (https://dl.airtable.com/.attachments/9b07a3108ccfe6b226d9b81a73e00936/ec41df07/NextGenHighways_co-locatingthetransportofvehiclesenergyandinformationVerticals.pdf)""","""NextGen Highways- Co-Locating the Transport of Vehicles, Energy, and Information.pdf (https://dl.airtable.com/.attachments/85014b6d9e6a723e085a95a9065b2c33/2bc3c036/NextGenHighways-Co-LocatingtheTransportofVehiclesEnergyandInformation.pdf)"""
